lon,lat,so2,no2,voc,co,pm25,pm10,nh3
104.49714353,29.1218549818,0.0,0.0,0.0,0.0,0.0,0.0,3.19935780592
104.52830801,29.1217361179,0.0,0.0,0.0,0.0,0.0,0.0,3.88240930678
104.5594724,29.1216084495,0.0,0.0,0.0,0.0,0.0,0.0,5.04973268296
104.590636694,29.1214719766,0.0,0.0,0.0,0.0,0.0,0.0,5.26189470082
104.621800884,29.1213266992,0.0,0.0,0.0,0.0,0.0,0.0,5.26189470082
104.652964964,29.1211726175,0.0,0.0,0.0,0.0,0.0,0.0,5.26189470082
104.684128928,29.1210097315,0.0,0.0,0.0,0.0,0.0,0.0,5.26189470082
104.71529277,29.1208380412,0.0,0.0,0.0,0.0,0.0,0.0,5.2016524457
104.746456483,29.1206575468,0.0,0.0,0.0,0.0,0.0,0.0,5.53521003878
104.77762006,29.1204682482,0.0,0.0,0.0,0.0,0.0,0.0,6.72673531978
104.808783495,29.1202701455,0.0,0.0,0.0,0.0,0.0,0.0,6.14107392339
104.839946782,29.1200632389,0.0,0.0,0.0,0.0,0.0,0.0,7.51614920627
104.871109914,29.1198475283,0.0,0.0,0.0,0.0,0.0,0.0,7.22559263941
104.902272884,29.119623014,0.0,0.0,0.0,0.0,0.0,0.0,7.50361729107
