ISTACK,LATITUDE,LONGITUDE,STKDM,STKHT,STKTK,STKVE,STKFLW,STKCNT,ROW,COL,XLOCA,YLOCA,LMAJOR,LPING,IFIP,SO2,NOX,VOC,CO,PM25,PM10,NH3
434,37.62980727,105.925,3.28,180,246,3,3400,,,,,,,,51184,1.4113,1.3231,0.0056,0.273,0.5028,0.882,0.882
435,37.62980235,105.959701,2.62,164,187,2.93,3259,,,,,,,,51184,14.1126,8.2691,0.0353,1.7064,0,0,0
436,37.62978758,105.9944019,3.28,180,246,4,3400,,,,,,,,51184,1.129,0.6615,0.0028,0.1365,0.2514,0.441,0.441
437,37.62972851,106.0638037,4.92,148,201,0.2,2000,,,,,,,,51184,1.6935,0.9923,0.0042,0.2048,0.3771,0.6615,0.6615
438,37.62968421,106.0985046,3.28,180,246,2.95,3400,,,,,,,,51184,11.0784,6.4907,0.0277,1.3395,2.4667,4.3275,4.3275
439,37.62621897,106.8618965,4.59,131,189,3.06,2500,,,,,,,,51184,31.8945,18.6882,0.0797,3.8564,7.1015,12.4588,12.4588
440,37.6571662,106.0985668,2.62,164,187,96.2,3259,,,,,,,,51122,33.8548,15.6881,0.1905,9.2144,6.7555,11.8518,11.8518
441,37.65369975,106.8622322,9.84,197,189,0.33,2400,,,,,,,,51122,48.6885,3.8898,0.0423,2.0477,1.9834,3.4796,3.4796
442,37.68464786,106.098629,2.62,164,187,93.53,3259,,,,,,,,51122,39.4976,18.3023,0.2222,10.7502,7.8814,13.827,13.827
443,37.68118021,106.8625682,4.92,197,187,15.2,3259,,,,,,,,51122,18.8084,8.7156,0.1093,5.2898,3.7528,6.5839,6.5839
444,37.71212919,106.0986912,4.92,148,201,0.25,2000,,,,,,,,51122,4.0574,0.3241,0.0035,0.1706,1.2915,2.2657,2.2657
445,37.70866034,106.8629044,4.59,131,189,0.52,3900,,,,,,,,51122,7.3033,0.5832,0.0063,0.3071,2.3246,4.0783,4.0783
446,37.70838934,106.8976393,2.62,164,187,44.9,3259,,,,,,,,51122,23.6981,10.9814,0.1428,6.9074,4.7288,8.2961,8.2961
447,37.73961018,106.0987535,3.28,180,246,8.34,3400,,,,,,,,51184,84.6756,49.6146,0.2116,10.2383,18.8536,33.0764,33.0764
448,37.73586904,106.8979882,3.28,148,248,0.56,3600,,,,,,,,51184,1.4113,0.8269,0.0035,0.1706,0.3142,0.5513,0.5513
449,37.73558809,106.9327353,9.84,197,189,0.26,2600,,,,,,,,51184,23.9914,5.655,0.06,2.9008,5.3418,9.3717,9.3717
450,37.73529729,106.9674821,2.62,164,187,1.17,3259,,,,,,,,51184,5.645,3.3076,0.0141,0.6826,0,0,0
451,37.73499663,107.0022287,2.62,115,217,1.08,2800,,,,,,,,51184,2.8225,1.6538,0.0071,0.3413,0.6285,1.1025,1.1025
452,37.76709083,106.0988159,2.62,164,187,86.76,3259,,,,,,,,51122,47.0214,21.7896,0.2293,11.0915,9.3825,16.4605,16.4605
453,37.76703659,106.133579,5.91,98,172,1.16,2200,,,,,,,,51122,20.3927,5.5105,0.06,2.9008,2.8101,4.93,4.93
454,37.76247568,107.0026153,2.62,164,187,64.13,3259,,,,,,,,51122,22.5691,10.4588,0.1058,5.1191,4.5035,7.9009,7.9009
455,37.76216505,107.0373741,4.92,148,201,0.12,2000,,,,,,,,51122,1.6229,0.1301,0.0014,0.0683,0.5166,0.9063,0.9063
456,37.79451687,106.1336539,1.64,115,234,5.63,2300,,,,,,,,51122,10.1434,0.8104,0.0088,0.4266,1.2915,2.2657,2.2657
457,37.78964365,107.0377733,4.59,131,189,463.05,2400,,,,,,,,51122,2.3749,56.8716,0.007,0.3379,11.9406,20.9484,20.9484
458,37.78932305,107.0725443,1.31,98,221,221.97,2800,,,,,,,,51122,6.8975,0.6726,0.0387,0.3539,0.4437,0.7784,0.7784
459,37.78899259,107.107315,2.62,164,187,106.89,3259,,,,,,,,51122,22.5691,10.4588,0.127,6.143,4.5035,7.9009,7.9009
460,37.78865227,107.1420853,3.28,148,234,4.31,2000,,,,,,,,51184,12.8425,7.5249,0.0321,1.5528,2.8595,5.0166,5.0166
461,37.78830208,107.1768554,2.62,164,187,15.01,3259,,,,,,,,51184,36.1283,21.1689,0.0903,4.3683,0,0,0
462,37.78794204,107.2116251,2.62,115,262,27.06,3400,,,,,,,,51184,72.7681,122.3827,0.5221,25.2544,46.5054,81.5885,81.5885
463,37.78757213,107.2463945,4.59,131,189,2.4,2400,,,,,,,,51184,38.2871,22.4346,0.0995,4.6394,8.5249,14.9561,14.9561
464,37.78719235,107.2811636,2.62,164,187,4.83,3259,,,,,,,,51184,10.8524,6.3595,0.0271,1.3122,0,0,0
465,37.78680272,107.3159323,2.62,164,187,1.96,3259,,,,,,,,51184,14.1126,8.2691,0.0353,1.7064,0,0,0
466,37.78640322,107.3507006,2.62,115,217,3.27,700,,,,,,,,51122,17.2438,1.6207,0.0176,0.8532,0.8264,1.4498,1.4498
467,37.78599386,107.3854686,2.62,164,187,190.87,3259,,,,,,,,51122,37.6167,17.4313,0.2116,10.2383,7.5059,13.1683,13.1683
468,37.82199679,106.1337288,2.62,164,187,95.44,3259,,,,,,,,51122,37.6167,17.4313,0.2116,10.2383,7.5059,13.1683,13.1683
469,37.81347084,107.385993,2.62,164,187,67.87,3259,,,,,,,,51122,22.5702,10.4588,0.1093,5.2898,4.5035,7.9009,7.9009
470,37.84947635,106.1338038,4.92,148,201,0.06,2000,,,,,,,,51122,2.1301,0.0331,0.0021,0.1024,0.006,0.0105,0.0105
471,37.84094745,107.3865178,6.56,164,203,0.34,2800,,,,,,,,51122,2.9945,2.3109,0.0252,1.2166,0.7639,1.3401,1.3401
472,37.84052794,107.4213104,4.92,197,187,13.15,3259,,,,,,,,51122,15.0465,6.9725,0.0776,3.754,3.0024,5.2674,5.2674
473,37.87712836,105.8901868,4.92,148,201,0.15,2000,,,,,,,,51122,3.1952,0.0496,0.0032,0.1536,0.0091,0.016,0.016
474,37.8771333,105.925,2.62,164,187,100.6,3259,,,,,,,,51122,30.0929,13.945,0.1905,9.2144,6.0049,10.5348,10.5348
475,37.87695555,106.1338788,2.62,148,234,2.83,2000,,,,,,,,51124,3.5282,0.8269,0.0035,0.1706,1.1783,2.0673,2.0673
476,37.86842369,107.3870429,6.56,164,189,1.44,2600,,,,,,,,51122,51.7315,4.8622,0.0529,2.5596,2.4796,4.3501,4.3501
477,37.86800403,107.421848,2.62,164,187,22.27,3259,,,,,,,,51122,9.4047,4.3584,0.0705,3.4128,1.8766,3.2922,3.2922
478,37.90460724,105.8901743,2.62,148,234,3.73,2000,,,,,,,,51122,15.418,1.2315,0.0134,0.6484,4.9076,8.6098,8.6098
479,37.90443436,106.1339539,2.62,164,187,64.14,3259,,,,,,,,51122,28.212,13.0729,0.1587,7.6787,5.6294,9.8761,9.8761
480,37.89589956,107.3875685,2.62,164,187,20.96,3259,,,,,,,,51122,15.0476,6.9725,0.0847,4.0953,3.0024,5.2674,5.2674
